,pm10,so2,co,o3,no2,max,critical,category
1263,43.0,4.0,44.0,124.0,12.0,124.0,O3,UNHEALTHY
1264,78.0,1.0,46.0,65.0,12.0,78.0,PM10,MODERATE
1265,64.0,3.0,29.0,60.0,8.0,64.0,PM10,MODERATE
1266,64.0,21.0,25.0,74.0,17.0,74.0,O3,MODERATE
1267,99.0,2.0,62.0,90.0,13.0,99.0,PM10,MODERATE
1268,92.0,2.0,40.0,82.0,10.0,92.0,PM10,MODERATE
1269,74.0,1.0,21.0,97.0,7.0,97.0,O3,MODERATE
1270,63.0,34.0,20.0,114.0,13.0,114.0,O3,UNHEALTHY
1271,87.0,3.0,18.0,140.0,15.0,140.0,O3,UNHEALTHY
1272,93.0,3.0,19.0,101.0,26.0,101.0,O3,UNHEALTHY
1273,71.0,2.0,20.0,89.0,14.0,89.0,O3,MODERATE
1274,54.0,5.0,12.0,68.0,12.0,68.0,O3,MODERATE
1275,87.0,7.0,50.0,63.0,13.0,87.0,PM10,MODERATE
1276,73.0,2.0,35.0,69.0,13.0,73.0,PM10,MODERATE
1277,63.0,2.0,17.0,71.0,10.0,71.0,O3,MODERATE
1278,82.0,3.0,27.0,76.0,11.0,82.0,PM10,MODERATE
1279,24.0,5.0,31.0,134.0,14.0,134.0,O3,UNHEALTHY
1280,58.0,29.0,35.0,24.0,21.0,58.0,PM10,MODERATE
1281,54.0,2.0,28.0,64.0,12.0,64.0,O3,MODERATE
1282,58.0,8.0,46.0,37.0,15.0,58.0,PM10,MODERATE
1283,83.0,2.0,53.0,65.0,12.0,83.0,PM10,MODERATE
1284,100.0,4.0,37.0,109.0,12.0,109.0,O3,UNHEALTHY
1285,66.0,20.0,23.0,121.0,13.0,121.0,O3,UNHEALTHY
1286,52.0,1.0,18.0,104.0,15.0,104.0,O3,UNHEALTHY
1287,34.0,6.0,32.0,118.0,9.0,118.0,O3,UNHEALTHY
1288,53.0,2.0,28.0,88.0,13.0,88.0,O3,MODERATE
1289,57.0,1.0,29.0,83.0,11.0,83.0,O3,MODERATE
1290,30.0,13.0,16.0,74.0,15.0,74.0,O3,MODERATE
1291,61.0,2.0,23.0,76.0,13.0,76.0,O3,MODERATE
1292,77.0,31.0,34.0,45.0,17.0,77.0,PM10,MODERATE
1293,70.0,2.0,27.0,117.0,11.0,117.0,O3,UNHEALTHY
1294,57.0,2.0,20.0,84.0,10.0,84.0,O3,MODERATE
1295,60.0,7.0,18.0,99.0,14.0,99.0,O3,MODERATE
1296,70.0,4.0,26.0,129.0,13.0,129.0,O3,UNHEALTHY
1297,68.0,25.0,22.0,105.0,17.0,105.0,O3,UNHEALTHY
1298,62.0,6.0,32.0,112.0,15.0,112.0,O3,UNHEALTHY
1299,81.0,7.0,46.0,93.0,23.0,93.0,O3,MODERATE
1300,64.0,30.0,17.0,46.0,15.0,64.0,PM10,MODERATE
1301,65.0,3.0,25.0,56.0,11.0,65.0,PM10,MODERATE
1302,57.0,4.0,11.0,46.0,7.0,57.0,PM10,MODERATE
1303,72.0,4.0,16.0,91.0,10.0,91.0,O3,MODERATE
1304,78.0,3.0,41.0,78.0,14.0,78.0,PM10,MODERATE
1305,80.0,4.0,24.0,115.0,12.0,115.0,O3,UNHEALTHY
1306,43.0,6.0,24.0,85.0,11.0,85.0,O3,MODERATE
1307,75.0,4.0,18.0,88.0,8.0,88.0,O3,MODERATE
1308,42.0,10.0,27.0,104.0,9.0,104.0,O3,UNHEALTHY
1309,25.0,9.0,37.0,75.0,12.0,75.0,O3,MODERATE
1310,68.0,7.0,10.0,72.0,10.0,72.0,O3,MODERATE
1311,26.0,6.0,38.0,75.0,12.0,75.0,O3,MODERATE
1312,66.0,6.0,8.0,87.0,9.0,87.0,O3,MODERATE
1313,86.0,7.0,12.0,122.0,13.0,122.0,O3,UNHEALTHY
1314,61.0,5.0,7.0,86.0,7.0,86.0,O3,MODERATE
1315,64.0,2.0,39.0,94.0,10.0,94.0,O3,MODERATE
1316,51.0,1.0,14.0,87.0,9.0,87.0,O3,MODERATE
1317,66.0,4.0,27.0,117.0,9.0,117.0,O3,UNHEALTHY
1318,59.0,4.0,23.0,92.0,15.0,92.0,O3,MODERATE
1319,20.0,5.0,17.0,110.0,15.0,110.0,O3,UNHEALTHY
1320,22.0,5.0,39.0,119.0,10.0,119.0,O3,UNHEALTHY
1321,28.0,7.0,19.0,115.0,7.0,115.0,O3,UNHEALTHY
1322,72.0,3.0,17.0,52.0,11.0,72.0,PM10,MODERATE
1323,57.0,9.0,23.0,68.0,10.0,68.0,O3,MODERATE
1324,68.0,2.0,18.0,59.0,7.0,68.0,PM10,MODERATE
1325,54.0,2.0,14.0,79.0,10.0,79.0,O3,MODERATE
1326,60.0,5.0,20.0,71.0,13.0,71.0,O3,MODERATE
1327,23.0,7.0,23.0,110.0,8.0,110.0,O3,UNHEALTHY
1328,17.0,8.0,24.0,107.0,8.0,107.0,O3,UNHEALTHY
1329,67.0,26.0,15.0,85.0,14.0,85.0,O3,MODERATE
1330,82.0,10.0,8.0,113.0,15.0,113.0,O3,UNHEALTHY
1331,74.0,8.0,8.0,88.0,13.0,88.0,O3,MODERATE
1332,63.0,9.0,5.0,75.0,10.0,75.0,O3,MODERATE
1333,78.0,5.0,16.0,59.0,13.0,78.0,PM10,MODERATE
1334,66.0,8.0,6.0,85.0,10.0,85.0,O3,MODERATE
1335,74.0,3.0,14.0,124.0,8.0,124.0,O3,UNHEALTHY
1336,74.0,3.0,12.0,58.0,8.0,74.0,PM10,MODERATE
1337,91.0,3.0,18.0,56.0,9.0,91.0,PM10,MODERATE
1338,14.0,6.0,27.0,81.0,9.0,81.0,O3,MODERATE
1339,74.0,2.0,16.0,57.0,7.0,74.0,PM10,MODERATE
1340,28.0,6.0,30.0,109.0,8.0,109.0,O3,UNHEALTHY
1341,75.0,8.0,10.0,125.0,10.0,125.0,O3,UNHEALTHY
1342,53.0,19.0,15.0,98.0,13.0,98.0,O3,MODERATE
